G0	RB1
G1	SPO11
G2	CBFB
G3	ZBTB16
G4	E2F4
G5	MCM3
G6	DDX20
G7	TOPORS
G8	VDR
G9	PBX1
G10	MYCN
G11	NFATC2
G12	TLR4
G13	MED16
G14	RUVBL2
G15	CENPK
G16	GTF2F1
G17	H1F0
G18	ZFP36
G19	FOXO1
G20	YBX1
G21	MXD3
G22	SNRPB
G23	EYA2
G24	HDAC7
G25	FEM1B
G26	EGR1
G27	HDAC11
G28	MLLT3
G29	NDN
G30	RAD21
G31	HLF
G32	SALL2
G33	TAF12
G34	ZDHHC6
G35	HDGF
G36	HIF3A
G37	PHF10
G38	ABL1
G39	SATB1
G40	RAD51
G41	ZDHHC13
G42	RPA1
G43	GFI1B
G44	ATF7
G45	MCM7
G46	JUN
G47	SPI1
G48	SOX18
G49	IRF6
G50	PHB2
G51	EPAS1
G52	ELP2
G53	POLR2B
G54	IRF7
G55	JARID2
G56	CSRP3
G57	LMO4
G58	TRPS1
G59	CBX7
G60	RPS6KA5
G61	XRCC3
G62	MAML3
G63	XRCC6
G64	NFKBIA
G65	MCM4
G66	ELF1
G67	HDAC2
G68	NUPR1
G69	NFIA
G70	ZFP467
G71	DEK
G72	HNRNPAB
G73	BATF2
G74	MECOM
G75	RELB
G76	BTG2
G77	MCM6
G78	GTF2H1
G79	EBF1
G80	HMGB2
G81	TLE2
G82	TTF2
G83	TRIB3
G84	MYB
G85	ZBTB38
G86	KLF6
G87	PLAG1
G88	MIS18BP1
G89	IRF8
G90	IRF9
G91	REL
G92	LZTS1
G93	MCM2
G94	NFE2
G95	RNF4
G96	ZEB2
G97	RUNX1T1
G98	IKZF1
G99	APBB1
G100	SMARCA2
G101	SRSF1
G102	HCFC1
G103	DDX58
G104	ZBTB20
G105	SLA2
G106	PA2G4
G107	TEAD2
G108	NFAT5
G109	MAPK12
G110	MAPK1
G111	RORC
G112	CTR9
G113	RORA
G114	WDR5
G115	RPA2
G116	RARB
G117	ORC2
G118	TCF19
G119	MEIS1
G120	E2F8
G121	BTAF1
G122	REXO4
G123	ERCC8
G124	STAT2
G125	XPC
G126	PRDM16
G127	NAP1L3
G128	POLR1B
G129	ARID3B
G130	TSC22D3
G131	NR3C2
G132	GATA2
G133	MCM5
G134	CREB5
G135	MYC
