,TF,Target,Label
0,2,47,1
1,2,41,1
2,2,1016,1
3,2,248,1
4,2,627,1
5,2,313,1
6,2,1108,1
7,2,61,1
8,2,711,1
9,2,316,1
10,2,596,1
11,2,802,1
12,2,477,1
13,2,467,1
14,2,874,1
15,2,318,1
16,2,930,1
17,2,443,1
18,2,1007,1
19,2,932,1
20,2,227,1
21,2,689,1
22,2,111,1
23,2,434,1
24,2,830,1
25,2,360,1
26,2,979,1
27,2,76,1
28,2,160,1
29,2,87,1
30,2,193,1
31,2,60,1
32,2,115,1
33,2,712,1
34,2,384,1
35,2,135,1
36,2,40,1
37,2,1032,1
38,2,848,1
39,2,503,1
40,2,432,1
41,2,20,1
42,2,708,1
43,2,1053,1
44,2,768,1
45,2,299,1
46,2,1052,1
47,2,231,1
48,2,495,1
49,2,333,1
50,2,62,1
51,2,326,1
52,2,523,1
53,2,835,1
54,2,439,1
55,2,598,1
56,2,935,1
57,2,924,1
58,2,662,1
59,2,878,1
60,2,936,1
61,2,295,1
62,2,582,1
63,2,622,1
64,2,950,1
65,2,456,1
66,2,154,1
67,2,683,1
68,2,1043,1
69,2,350,1
70,2,872,1
71,2,1048,1
72,2,608,1
73,2,723,1
74,2,64,1
75,2,805,1
76,2,1081,1
77,2,733,1
78,2,766,1
79,2,6,1
80,2,998,1
81,2,715,1
82,2,558,1
83,2,673,1
84,2,956,1
85,2,1056,1
86,2,369,1
87,2,702,1
88,2,72,1
89,2,459,1
90,2,1004,1
91,2,417,1
92,2,156,1
93,2,506,1
94,2,884,1
95,2,497,1
96,2,1051,1
97,2,678,1
98,2,818,1
99,2,264,1
100,2,147,1
101,2,153,1
102,2,1095,1
103,2,861,1
104,2,550,1
105,2,1088,1
106,2,951,1
107,2,491,1
108,2,437,1
109,2,258,1
110,2,336,1
111,2,573,1
112,2,186,1
113,2,1006,1
114,2,846,1
115,2,284,1
116,2,424,1
117,2,971,1
118,2,809,1
119,2,682,1
120,2,77,1
121,2,749,1
122,2,1084,1
123,2,196,1
124,2,667,1
125,2,487,1
126,2,825,1
127,2,562,1
128,2,999,1
129,2,270,1
130,2,575,1
131,2,329,1
132,2,273,1
133,2,34,1
134,2,1096,1
135,2,941,1
136,2,205,1
137,2,488,1
138,2,427,1
139,2,429,1
140,2,1057,1
141,2,520,1
142,2,783,1
143,2,758,1
144,2,724,1
145,2,453,1
146,2,1090,1
147,2,962,1
148,2,466,1
149,2,697,1
150,2,837,1
151,2,624,1
152,2,485,1
153,2,822,1
154,2,642,1
155,2,576,1
156,2,75,1
157,2,1045,1
158,2,500,1
159,2,13,1
160,2,1126,1
161,2,451,1
162,2,24,1
163,2,390,1
164,2,51,1
165,2,633,1
166,2,587,1
167,2,703,1
168,2,743,1
169,2,654,1
170,2,311,1
171,2,249,1
172,2,225,1
173,2,904,1
174,2,1017,1
175,2,442,1
176,2,690,1
177,2,344,1
178,2,1085,1
179,2,100,1
180,2,727,1
181,2,807,1
182,2,706,1
183,2,133,1
184,2,584,1
185,2,958,1
186,2,1107,1
187,2,547,1
188,2,1074,1
189,2,1069,1
190,2,203,1
191,2,122,1
192,2,148,1
193,2,423,1
194,2,312,1
195,2,380,1
196,2,262,1
197,2,868,1
198,2,291,1
199,2,208,1
200,2,742,1
201,2,580,1
202,2,422,1
203,2,1079,1
204,2,791,1
205,2,557,1
206,2,740,1
207,2,112,1
208,2,50,1
209,2,300,1
210,2,1122,1
211,2,851,1
212,2,325,1
213,2,91,1
214,2,382,1
215,2,786,1
216,2,445,1
217,2,480,1
218,2,319,1
219,2,294,1
220,2,966,1
221,2,430,1
222,2,152,1
223,2,289,1
224,2,860,1
225,2,364,1
226,2,1071,1
227,2,146,1
228,2,710,1
229,2,831,1
230,2,1128,1
231,2,968,1
232,2,664,1
233,2,887,1
234,2,767,1
235,2,449,1
236,2,400,1
237,2,211,1
238,2,259,1
239,2,36,1
240,2,1021,1
241,2,795,1
242,2,925,1
243,2,233,1
244,2,581,1
245,2,357,1
246,2,757,1
247,2,614,1
248,2,842,1
249,2,634,1
250,2,207,1
251,2,788,1
252,2,3,1
253,2,544,1
254,2,1062,1
255,2,177,1
256,2,250,1
257,2,850,1
258,2,1037,1
259,2,418,1
260,2,387,1
261,2,175,1
262,2,1041,1
263,2,770,1
264,2,114,1
265,2,256,1
