#ID	Name
G0	RB1
G1	SPO11
G2	CBFB
G3	ZBTB16
G4	E2F4
G5	MCM3
G6	DDX20
G7	TOPORS
G8	VDR
G9	PBX1
G10	MYCN
G11	NFATC2
G12	TLR4
G13	MED16
G14	RUVBL2
G15	CENPK
G16	GTF2F1
G17	H1F0
G18	ZFP36
G19	FOXO1
G20	YBX1
G21	MXD3
G22	SNRPB
G23	EYA2
G24	HDAC7
G25	FEM1B
G26	EGR1
G27	HDAC11
G28	MLLT3
G29	NDN
G30	RAD21
G31	HLF
G32	SALL2
G33	TAF12
G34	ZDHHC6
G35	HDGF
G36	HIF3A
G37	PHF10
G38	ABL1
G39	SATB1
G40	RAD51
G41	ZDHHC13
G42	RPA1
G43	GFI1B
G44	ATF7
G45	MCM7
G46	JUN
G47	SPI1
G48	SOX18
G49	IRF6
G50	PHB2
G51	EPAS1
G52	ELP2
G53	POLR2B
G54	IRF7
G55	JARID2
G56	CSRP3
G57	LMO4
G58	TRPS1
G59	CBX7
G60	RPS6KA5
G61	XRCC3
G62	MAML3
G63	XRCC6
G64	NFKBIA
G65	MCM4
G66	ELF1
G67	HDAC2
G68	NUPR1
G69	NFIA
G70	ZFP467
G71	DEK
G72	HNRNPAB
G73	BATF2
G74	MECOM
G75	RELB
G76	BTG2
G77	MCM6
G78	GTF2H1
G79	EBF1
G80	HMGB2
G81	TLE2
G82	TTF2
G83	TRIB3
G84	MYB
G85	ZBTB38
G86	KLF6
G87	PLAG1
G88	MIS18BP1
G89	IRF8
G90	IRF9
G91	REL
G92	LZTS1
G93	MCM2
G94	NFE2
G95	RNF4
G96	ZEB2
G97	RUNX1T1
G98	IKZF1
G99	APBB1
G100	SMARCA2
G101	SRSF1
G102	HCFC1
G103	DDX58
G104	ZBTB20
G105	SLA2
G106	PA2G4
G107	TEAD2
G108	NFAT5
G109	MAPK12
G110	MAPK1
G111	RORC
G112	CTR9
G113	RORA
G114	WDR5
G115	RPA2
G116	RARB
G117	ORC2
G118	TCF19
G119	MEIS1
G120	E2F8
G121	BTAF1
G122	REXO4
G123	ERCC8
G124	STAT2
G125	XPC
G126	PRDM16
G127	NAP1L3
G128	POLR1B
G129	ARID3B
G130	TSC22D3
G131	NR3C2
G132	GATA2
G133	MCM5
G134	CREB5
G135	MYC
G136	TRIM47
G137	B230219D22RIK
G138	NOLC1
G139	CCL9
G140	CFP
G141	MCPT8
G142	PLA2G12A
G143	CUL3
G144	LONP1
G145	HACD3
G146	METTL27
G147	GNS
G148	CAMK2D
G149	HEXA
G150	FGGY
G151	CD93
G152	GALNS
G153	IL27RA
G154	ANKRD44
G155	ENPP5
G156	USP37
G157	TYROBP
G158	DOK2
G159	CSF1R
G160	TNIP3
G161	WDHD1
G162	PSAT1
G163	ABCG2
G164	SIRPA
G165	EIF4ENIF1
G166	SRM
G167	MS4A3
G168	CENPO
G169	KAT7
G170	NMD3
G171	ITIH5
G172	DNM1L
G173	SGPP1
G174	COLGALT1
G175	PTCD3
G176	PPID
G177	FBXO5
G178	CSF3R
G179	COL4A2
G180	IGHM
G181	AW112010
G182	GEMIN5
G183	ARCN1
G184	MTR
G185	TCIRG1
G186	PCMTD1
G187	ANXA5
G188	LGALS1
G189	CD82
G190	RFC4
G191	NAV1
G192	OSTM1
G193	ICAM1
G194	PDE4D
G195	MTFR1
G196	SLC44A2
G197	GUSB
G198	PADI4
G199	ATG12
G200	PIM2
G201	PHF11B
G202	HDC
G203	ELAC2
G204	HSPA1A
G205	WSB1
G206	MTOR
G207	TRMT6
G208	IL12A
G209	TUBGCP2
G210	DUT
G211	RMND5A
G212	CNN3
G213	EMILIN1
G214	ARHGEF18
G215	IARS
G216	PGLYRP2
G217	CCDC50
G218	PLEK
G219	GK
G220	TNPO1
G221	SLC35A4
G222	GLIPR2
G223	ZFP945
G224	SLC16A1
G225	SHISA5
G226	TRAP1
G227	FOXRED1
G228	PLPPR3
G229	DDX39
G230	INO80D
G231	RANGAP1
G232	PNCK
G233	ETF1
G234	MNS1
G235	BC005561
G236	PLXNA4OS1
G237	GP9
G238	RGS19
G239	RPAP1
G240	PTGR1
G241	HSPA4
G242	ANXA3
G243	OTUD6B
G244	TCP11L2
G245	ATP8B4
G246	TMEM206
G247	SELENOP
G248	CHRNB1
G249	ZNRF2
G250	TACC3
G251	NAMPT
G252	PPM1F
G253	CLN5
G254	SLPI
G255	IFI203
G256	TXNIP
G257	FAR1
G258	ADSSL1
G259	POLD1
G260	COQ8A
G261	TRPC6
G262	FLOT2
G263	CDC45
G264	ARRDC4
G265	ANGPT1
G266	MAD2L1
G267	EDEM1
G268	MSH6
G269	GM20559
G270	NCLN
G271	CKAP5
G272	KCTD12
G273	S100A6
G274	TPX2
G275	OAS3
G276	MTCH2
G277	GRIA3
G278	IDH3A
G279	ATP10A
G280	AZIN1
G281	PPM1G
G282	H2-OB
G283	GIMAP6
G284	VAV3
G285	OBSCN
G286	ADGRG3
G287	GM20342
G288	GMNN
G289	CREBRF
G290	SOAT1
G291	NDE1
G292	C1RL
G293	CERS6
G294	RRM1
G295	RAB44
G296	GOLPH3
G297	CIP2A
G298	5430427O19RIK
G299	CST7
G300	PRELID3B
G301	IPO9
G302	GPRASP1
G303	MDN1
G304	CKS2
G305	OTULINL
G306	BDH2
G307	UBA2
G308	RNF122
G309	CTLA2B
G310	MTMR6
G311	CDCA7
G312	AURKA
G313	SERPINB6B
G314	SH2D5
G315	WDR4
G316	UAP1
G317	MAP4K2
G318	FEM1A
G319	MTO1
G320	DCK
G321	EIF2S1
G322	UPP1
G323	TNFRSF21
G324	API5
G325	HELLS
G326	CDK1
G327	CD9
G328	TRIM59
G329	NOL9
G330	CENPL
G331	RRM2
G332	CSF2RB
G333	ME2
G334	PPP1CB
G335	TTLL12
G336	ZFP422
G337	ACSS1
G338	FASTKD3
G339	SLC31A1
G340	NAPRT
G341	ADA
G342	CDKN1C
G343	SDC4
G344	GCNT2
G345	SHISA8
G346	TOP3B
G347	STRAP
G348	REXO2
G349	BTK
G350	PRIM1
G351	MUC13
G352	CDCA3
G353	JCHAIN
G354	SMPD4
G355	GIMAP1OS
G356	RCOR1
G357	TMEM50B
G358	CBX5
G359	BYSL
G360	AP3S1
G361	GLRX5
G362	AGPS
G363	IGFBP4
G364	DNAJC9
G365	TEX10
G366	IGKC
G367	ABCB10
G368	ALDH18A1
G369	BIRC5
G370	EIF3B
G371	SLC2A3
G372	PKIB
G373	PRODH
G374	TEC
G375	CENPA
G376	NCAPG
G377	AURKB
G378	VIPR2
G379	HID1
G380	CPA3
G381	BUB1
G382	UBA7
G383	PRMT7
G384	GALNT6
G385	JAM3
G386	TMX3
G387	PPP1R15A
G388	SLCO4A1
G389	NARS
G390	RGS18
G391	THADA
G392	HP
G393	TSPAN3
G394	RPP40
G395	SLC43A3
G396	NUP85
G397	DCAF13
G398	PRTN3
G399	FARSB
G400	ARID5A
G401	TMEM184C
G402	UBR7
G403	PLXNC1
G404	ITGAL
G405	GM19590
G406	CCNB1
G407	MICU1
G408	ENG
G409	TM7SF3
G410	NUP88
G411	FSTL1
G412	RTEL1
G413	NKG7
G414	PLXDC2
G415	SELENBP1
G416	TSPAN14
G417	MGAT5
G418	MTREX
G419	SYK
G420	MAGED1
G421	GM4951
G422	RAB37
G423	WDR43
G424	CYFIP2
G425	NEAT1
G426	RGS1
G427	CD48
G428	DNAJC11
G429	LRRC59
G430	ABHD17B
G431	BUB1B
G432	AKAP8L
G433	RP2
G434	MAN2A2
G435	PLAA
G436	TGFBR1
G437	GLB1
G438	FGL2
G439	DNAJC10
G440	CDKN1A
G441	NUS1
G442	PATL1
G443	NAPSA
G444	NCEH1
G445	PSEN1
G446	LHCGR
G447	CDK18
G448	TMEM246
G449	CIPC
G450	RCC1
G451	SUSD3
G452	EEF1E1
G453	MTHFD1
G454	DHFR
G455	TRIM30D
G456	ABL2
G457	CENPF
G458	FRRS1
G459	NEIL3
G460	KIF22
G461	GOLT1B
G462	GIMAP1
G463	TENT5A
G464	FAM171A1
G465	SDF2L1
G466	TARS
G467	HNRNPLL
G468	NUDCD1
G469	RACGAP1
G470	TOP2A
G471	DENND2D
G472	FAM111A
G473	AI506816
G474	FUT7
G475	XAF1
G476	TIFAB
G477	SH3BGRL
G478	EMCN
G479	SIGLECG
G480	UTP4
G481	PEAR1
G482	CTSL
G483	TFG
G484	FAM102B
G485	ARL11
G486	HUS1
G487	H2-DMA
G488	TESPA1
G489	B3GNT5
G490	MIS12
G491	INTS8
G492	SCARB1
G493	RAB31
G494	FES
G495	CTSO
G496	SUPV3L1
G497	DEF8
G498	PLSCR4
G499	CKAP2
G500	NOP2
G501	IIGP1
G502	GOLIM4
G503	FBXW11
G504	D1ERTD622E
G505	NDC1
G506	ATP13A1
G507	CD44
G508	EPRS
G509	GIMAP8
G510	GM1966
G511	DDX60
G512	STAG2
G513	CCNE2
G514	UBAC1
G515	IFI27L2A
G516	MRPL37
G517	NUP93
G518	OSBPL1A
G519	DNTT
G520	NAA50
G521	TOMM70A
G522	ODC1
G523	SERPINB9
G524	SSH3
G525	TMEM176A
G526	ASF1B
G527	ADK
G528	TBL3
G529	F630028O10RIK
G530	TGM2
G531	PROCR
G532	RASSF4
G533	LSP1
G534	CEP55
G535	DENND1C
G536	SERPINB1A
G537	SCARF1
G538	USP11
G539	DHX33
G540	PWP2
G541	THSD1
G542	MTMR4
G543	CCNF
G544	SLC35E1
G545	NUBP2
G546	SHCBP1
G547	UNC93B1
G548	EMB
G549	EZR
G550	NPDC1
G551	CTSF
G552	CASP1
G553	ITM2A
G554	RCSD1
G555	SNX30
G556	PBK
G557	PRKCQ
G558	EFTUD2
G559	CYBC1
G560	ABCB8
G561	IL17RA
G562	ARHGAP15
G563	CD63
G564	PFKFB3
G565	PLEKHO2
G566	MPL
G567	ST6GALNAC4
G568	CERS4
G569	TRIM16
G570	TRIM35
G571	CD68
G572	ELANE
G573	CDCA4
G574	MIR17HG
G575	RHOF
G576	ITPR1
G577	STT3A
G578	PIDD1
G579	FDFT1
G580	SHMT1
G581	VSIR
G582	LY9
G583	PLAC8
G584	CENPE
G585	COPB1
G586	GT(ROSA)26SOR
G587	GGTA1
G588	PARP8
G589	ARID2
G590	ACAA2
G591	CAD
G592	ATAD2
G593	MFSD14B
G594	DNAJC5
G595	CD52
G596	GYS1
G597	BCL2
G598	TM6SF1
G599	TMX4
G600	AHCYL1
G601	CTLA2A
G602	GRINA
G603	JPT2
G604	CD63-PS
G605	GBP2
G606	ORC6
G607	PTPN7
G608	SLBP
G609	ABCG3
G610	GUCY1A1
G611	CSAD
G612	LDHB
G613	CD300A
G614	RARS
G615	SF3B3
G616	TEK
G617	UMPS
G618	FAM76B
G619	MCM10
G620	TGTP1
G621	URB2
G622	ARL8B
G623	CD53
G624	SPC25
G625	PARVG
