#ID,TF,index
0,59,382
1,59,523
2,59,77
3,59,254
4,59,615
5,59,346
6,59,527
7,59,607
8,59,50
9,59,228
10,59,154
11,59,542
12,59,332
13,59,506
14,59,146
15,59,415
16,59,169
17,59,197
18,59,62
19,59,208
20,59,392
21,59,0
22,59,322
23,59,198
24,59,564
25,59,437
26,59,299
27,59,123
28,59,162
29,59,541
30,59,137
31,59,264
32,59,106
33,59,484
34,59,453
35,59,320
36,59,383
37,59,487
38,59,87
39,59,630
40,59,1
41,59,600
42,59,482
43,59,387
44,59,105
45,59,561
46,59,233
47,59,158
48,59,4
49,59,134
50,59,63
51,59,175
52,59,75
53,59,568
54,59,182
55,59,51
56,59,475
57,59,258
58,59,597
59,59,227
60,59,71
61,59,201
62,59,450
63,59,86
64,59,449
65,59,112
66,59,9
67,59,173
68,59,11
69,59,580
70,59,570
71,59,39
72,59,347
73,59,190
74,59,136
75,59,418
76,59,132
77,59,531
78,59,230
79,59,591
80,59,266
81,59,262
82,59,159
83,59,126
84,59,189
85,59,150
86,59,25
87,59,441
88,59,14
89,59,435
90,59,593
91,59,235
92,59,57
93,59,562
94,59,116
95,59,292
96,59,456
97,59,207
98,59,522
99,59,330
100,59,489
101,59,26
102,59,445
103,59,354
104,59,628
105,59,275
106,59,34
107,59,618
108,59,339
109,59,405
110,59,368
111,59,172
112,59,627
113,59,319
114,59,491
115,59,544
116,59,411
117,59,367
118,59,605
119,59,253
120,59,237
121,59,6
122,59,229
123,59,302
124,59,571
125,59,556
126,59,321
127,59,334
128,59,598
129,59,138
130,59,582
131,59,410
132,59,142
133,59,468
134,59,520
135,59,38
136,59,211
137,59,114
138,59,263
139,59,283
140,59,404
141,59,185
142,59,220
143,59,103
144,59,129
145,59,111
146,59,125
147,59,398
148,59,569
149,59,494
150,59,273
151,59,98
152,59,444
153,59,508
154,59,530
155,59,45
156,59,595
157,59,486
158,59,619
159,59,265
160,59,290
161,59,216
162,59,241
163,59,467
164,59,5
165,59,412
166,59,7
167,59,257
168,59,274
169,59,148
170,59,479
171,59,144
172,59,288
173,59,78
174,59,285
175,59,560
176,59,13
177,59,477
178,59,312
179,59,249
180,59,85
181,59,470
182,59,443
183,59,21
184,59,234
185,59,538
186,59,210
187,59,281
188,59,268
189,59,284
190,59,529
191,59,485
192,59,315
193,59,323
194,59,76
195,59,118
196,59,65
197,59,139
198,59,296
199,59,295
200,59,386
201,59,27
202,59,371
203,59,239
204,59,179
205,59,426
206,59,500
207,59,279
208,59,608
209,59,567
210,59,536
211,59,164
212,59,601
213,59,602
214,59,414
215,59,119
216,59,294
217,59,192
218,59,614
219,59,188
220,59,454
221,59,29
222,59,588
223,59,343
224,59,44
225,59,107
226,59,495
227,59,524
228,59,389
229,59,30
230,59,416
231,59,121
232,59,390
233,59,369
234,59,82
235,59,300
236,59,423
237,59,99
238,59,67
239,59,610
240,59,326
241,59,419
242,59,73
243,59,539
244,59,594
245,59,202
246,59,252
247,59,366
248,59,458
249,59,459
250,59,271
251,59,93
252,59,147
253,59,122
254,59,130
255,59,356
256,59,395
257,59,512
258,59,587
259,59,344
260,59,375
261,59,573
262,59,577
263,59,54
264,59,505
265,59,599
266,59,521
267,59,110
268,59,329
269,59,16
270,59,141
271,59,357
272,59,184
273,59,43
274,59,606
275,59,331
276,59,205
277,59,317
278,59,79
279,59,2
280,59,629
281,59,328
282,59,149
283,59,243
284,59,170
285,59,436
286,59,70
287,59,219
288,59,293
289,59,384
290,59,472
291,59,101
292,59,623
293,59,165
294,59,516
295,59,406
296,59,519
297,59,353
298,59,289
299,59,502
300,59,525
301,59,35
302,59,163
303,59,222
304,59,225
305,59,153
306,59,19
307,59,276
308,59,113
309,59,461
310,59,269
311,59,259
312,59,60
313,59,166
314,59,589
315,59,447
316,59,301
317,59,439
318,59,534
319,59,429
320,59,401
321,59,510
322,59,215
323,59,483
324,59,396
325,59,88
326,59,160
327,59,612
328,59,555
329,59,248
330,59,151
331,59,464
332,59,476
333,59,92
334,59,223
335,59,497
336,59,499
337,59,287
338,59,267
339,59,12
340,59,145
341,59,517
342,59,23
343,59,452
344,59,465
345,59,128
346,59,604
347,59,174
348,59,473
349,59,17
350,59,440
351,59,286
352,59,585
353,59,278
354,59,490
355,59,15
356,59,624
357,59,127
358,59,358
359,59,194
360,59,117
361,59,621
362,59,417
363,59,551
364,59,115
365,59,572
366,59,603
367,59,203
368,59,204
369,59,550
370,59,466
371,59,442
372,59,359
373,59,576
374,59,592
375,59,31
376,59,84
377,59,22
378,59,400
379,59,360
380,59,455
381,59,177
382,59,533
383,59,535
384,59,245
385,59,471
386,59,240
387,59,100
388,59,313
389,59,46
390,59,20
391,59,462
392,59,552
393,59,306
394,59,206
395,59,558
396,59,365
397,59,303
398,59,61
399,59,217
400,59,381
401,59,493
402,59,236
403,59,616
404,59,213
405,59,526
406,59,391
407,59,503
408,59,49
409,59,212
410,59,613
411,59,626
412,59,218
413,59,355
414,59,157
415,59,448
416,59,310
417,59,102
418,59,421
419,59,270
420,59,566
421,59,501
422,59,90
423,59,10
424,59,108
425,59,80
426,59,221
427,59,424
428,59,399
429,59,305
430,59,408
431,59,94
432,59,373
433,59,511
434,59,446
435,59,307
436,59,363
437,59,431
438,59,394
439,59,498
440,59,557
441,59,272
442,59,348
443,59,362
444,59,509
445,59,91
446,59,481
447,59,226
448,59,74
449,59,324
450,59,256
451,59,72
452,59,48
453,59,156
454,59,370
455,59,548
456,59,513
457,59,428
458,59,325
459,59,304
460,59,232
461,59,316
462,59,135
463,59,155
464,59,379
465,59,200
466,59,433
467,59,261
468,59,540
469,59,372
470,59,393
471,59,186
472,59,37
473,59,214
474,59,96
475,59,140
476,59,238
477,59,282
478,59,181
479,59,413
480,59,528
481,59,224
482,59,193
483,59,242
484,59,133
485,59,308
486,59,161
487,59,345
488,59,397
489,59,195
490,59,314
491,59,565
492,59,58
493,59,152
494,59,543
495,59,318
496,59,474
497,59,407
498,59,620
499,59,32
500,59,187
501,59,209
502,59,171
503,59,167
504,59,124
505,59,438
506,59,81
507,59,578
508,59,547
509,59,28
510,59,402
511,59,463
512,59,24
513,59,545
514,59,33
515,59,97
516,59,507
517,59,199
518,59,143
519,59,120
520,59,622
521,59,53
522,59,625
523,59,377
524,59,42
525,59,385
526,59,196
527,59,537
528,59,3
529,59,422
530,59,403
531,59,388
532,59,336
533,16,52
534,16,37
535,16,109
536,16,422
537,16,104
538,16,198
539,16,128
540,16,473
541,16,304
542,16,34
543,16,87
544,16,576
545,16,447
546,16,18
547,16,556
548,16,70
549,16,372
550,16,155
551,16,334
552,16,245
553,16,585
554,16,42
555,16,615
556,16,305
557,16,46
558,16,335
559,16,144
560,16,366
561,16,351
562,16,117
563,16,72
564,16,489
565,16,495
566,16,101
567,16,84
568,16,55
569,16,133
570,16,79
571,16,100
572,16,392
573,16,20
574,16,203
575,16,121
576,16,102
577,16,63
578,16,574
579,16,234
580,16,531
581,16,584
582,16,83
583,16,393
584,16,158
585,16,30
586,16,278
587,16,47
588,16,3
589,16,22
590,16,81
591,16,32
592,16,40
593,16,442
594,16,592
595,16,565
596,16,444
597,16,149
598,16,280
599,16,348
600,16,120
601,16,628
602,16,434
603,16,467
604,16,8
605,16,254
606,16,507
607,16,328
608,16,255
609,16,89
610,16,38
611,16,58
612,16,452
613,16,199
614,16,161
615,16,28
616,16,41
617,16,547
618,16,506
619,16,349
620,16,432
621,16,404
622,16,183
623,16,498
624,16,548
625,16,380
626,16,125
627,16,425
628,16,212
629,16,484
630,16,301
631,16,417
632,16,536
633,16,300
634,16,65
635,16,287
636,16,49
637,16,270
638,16,528
639,16,145
640,16,571
641,16,74
642,16,383
643,16,313
644,16,279
645,16,441
646,16,4
647,16,94
648,16,424
649,16,45
650,16,108
651,16,552
652,16,0
653,16,238
654,16,557
655,16,326
656,16,357
657,16,343
658,16,591
659,16,138
660,16,512
661,16,389
662,16,539
663,16,96
664,16,630
665,16,494
666,16,211
667,16,13
668,16,76
669,16,246
670,16,602
671,16,249
672,16,375
673,16,15
674,16,21
675,16,443
676,16,112
677,16,202
678,16,519
679,16,306
680,16,440
681,16,160
682,16,258
683,16,355
684,16,241
685,16,423
686,16,396
687,16,185
688,16,353
689,16,92
690,16,418
691,16,86
692,16,223
693,16,488
694,16,575
695,16,266
696,16,332
697,16,445
698,16,315
699,16,542
700,16,614
701,16,435
702,16,555
703,16,562
704,16,294
705,133,564
706,133,258
707,133,31
708,133,489
709,133,587
710,133,600
711,133,601
712,133,136
713,133,475
714,133,536
715,133,7
716,133,74
717,133,77
718,133,147
719,133,541
720,133,547
721,133,226
722,133,114
723,133,486
724,133,270
725,133,202
726,133,325
727,133,485
728,133,156
729,133,416
730,133,479
731,133,138
732,133,519
733,133,304
734,133,90
735,133,71
736,133,24
737,133,348
738,133,229
739,133,137
740,133,431
741,133,233
742,133,97
743,133,162
744,133,571
745,133,400
746,133,568
747,133,268
748,133,372
749,133,470
750,133,217
751,133,500
752,133,375
753,133,254
754,133,323
755,133,118
756,133,608
757,133,481
758,133,436
759,133,562
760,133,472
761,133,6
762,133,0
763,133,495
764,133,129
765,133,225
766,133,36
767,133,155
768,133,154
769,133,5
770,133,441
771,133,169
772,133,380
773,133,310
774,133,595
775,133,488
776,133,307
777,133,417
778,133,588
779,133,22
780,133,278
781,133,358
782,133,594
783,133,596
784,133,143
785,133,428
786,133,200
787,133,458
788,133,259
789,133,281
790,133,419
791,133,444
792,133,273
793,133,303
794,133,512
795,133,61
796,133,359
797,133,106
798,133,198
799,133,404
800,133,315
801,133,598
802,133,271
803,133,161
804,133,72
805,133,620
806,133,618
807,133,340
808,133,589
809,133,81
810,133,445
811,133,294
812,133,570
813,133,407
814,133,132
815,133,464
816,133,614
817,133,397
818,133,412
819,133,411
820,133,377
