,TF,Target,Label
0,0,351,1
1,0,279,1
2,3,536,1
3,3,505,1
4,3,457,1
5,3,552,1
6,3,341,1
7,3,471,1
8,3,231,1
9,3,241,1
10,3,289,1
11,3,191,1
12,3,598,1
13,3,524,1
14,3,615,1
15,3,162,1
16,3,580,1
17,3,150,1
18,3,608,1
19,3,186,1
20,3,187,1
21,3,112,1
22,3,489,1
23,3,199,1
24,3,201,1
25,3,331,1
26,3,324,1
27,3,475,1
28,3,158,1
29,3,159,1
30,3,384,1
31,3,578,1
32,3,217,1
33,3,245,1
34,3,21,1
35,3,584,1
36,3,242,1
37,3,488,1
38,3,46,1
39,3,410,1
40,3,131,1
41,3,49,1
42,3,228,1
43,3,515,1
44,3,224,1
45,3,597,1
46,3,327,1
47,3,135,1
48,3,132,1
49,3,348,1
50,3,200,1
51,3,13,1
52,3,173,1
53,3,14,1
54,3,170,1
55,3,618,1
56,3,363,1
57,3,212,1
58,3,556,1
59,3,281,1
60,3,443,1
61,3,227,1
62,3,493,1
63,3,237,1
64,3,347,1
65,3,62,1
66,3,236,1
67,3,239,1
68,3,120,1
69,3,366,1
70,3,229,1
71,3,151,1
72,3,400,1
73,3,427,1
74,3,58,1
75,3,398,1
76,3,146,1
77,3,123,1
78,3,145,1
79,3,26,1
80,3,293,1
81,3,106,1
82,3,362,1
83,3,609,1
84,3,367,1
85,3,197,1
86,3,563,1
87,3,12,1
88,3,401,1
89,3,111,1
90,3,269,1
91,3,356,1
92,3,596,1
93,3,502,1
94,3,545,1
95,3,318,1
96,3,426,1
97,3,259,1
98,3,104,1
99,3,11,1
100,3,296,1
101,3,31,1
102,3,626,1
103,3,551,1
104,3,39,1
105,3,215,1
106,3,612,1
107,3,540,1
108,3,527,1
109,3,354,1
110,3,232,1
111,3,538,1
112,3,194,1
113,3,155,1
114,3,230,1
115,3,479,1
116,3,510,1
117,3,249,1
118,3,394,1
119,3,102,1
120,3,154,1
121,3,621,1
122,3,333,1
123,3,176,1
124,3,439,1
125,3,86,1
126,3,25,1
127,3,1,1
128,3,605,1
129,3,233,1
130,3,310,1
131,3,9,1
132,3,529,1
133,3,317,1
134,3,566,1
135,3,72,1
136,3,630,1
137,3,464,1
138,3,483,1
139,3,480,1
140,3,181,1
141,3,95,1
142,3,114,1
143,3,352,1
144,3,474,1
145,3,50,1
146,3,30,1
147,3,183,1
148,3,56,1
149,3,313,1
150,3,272,1
151,3,264,1
152,3,491,1
153,15,417,1
154,15,39,1
155,15,391,1
156,15,133,1
157,16,393,1
158,16,241,1
159,16,133,1
160,16,155,1
161,16,424,1
162,16,528,1
163,16,531,1
164,16,84,1
165,16,555,1
166,16,556,1
167,16,160,1
168,16,484,1
169,16,452,1
170,16,536,1
171,16,467,1
172,16,301,1
173,16,45,1
174,16,615,1
175,16,315,1
176,16,547,1
177,16,46,1
178,16,40,1
179,16,294,1
180,16,519,1
181,16,199,1
182,16,21,1
183,16,70,1
184,16,89,1
185,16,121,1
186,16,506,1
187,16,74,1
188,16,161,1
189,16,234,1
190,16,404,1
191,16,92,1
192,16,87,1
193,16,443,1
194,16,128,1
195,16,372,1
196,16,279,1
197,16,125,1
198,16,32,1
199,16,444,1
200,16,351,1
201,16,112,1
202,16,300,1
203,16,592,1
204,16,348,1
205,16,37,1
206,16,255,1
207,16,65,1
208,16,109,1
209,16,101,1
210,16,287,1
211,16,396,1
212,16,349,1
213,16,512,1
214,16,280,1
215,16,86,1
216,16,20,1
217,16,13,1
218,16,584,1
219,16,353,1
220,16,392,1
221,16,571,1
222,16,332,1
223,16,203,1
224,16,591,1
225,16,202,1
226,16,246,1
227,16,138,1
228,16,422,1
229,16,278,1
230,16,548,1
231,16,94,1
232,16,223,1
233,16,585,1
234,16,375,1
235,16,81,1
236,16,447,1
237,16,306,1
238,16,8,1
239,16,630,1
240,16,120,1
241,16,366,1
242,16,158,1
243,16,432,1
244,16,76,1
245,16,41,1
246,16,144,1
247,16,542,1
248,16,489,1
249,16,42,1
250,16,22,1
251,16,441,1
252,16,575,1
253,16,185,1
254,16,211,1
255,16,498,1
256,16,435,1
257,16,198,1
258,16,576,1
259,16,335,1
260,16,313,1
261,16,15,1
262,16,249,1
263,16,254,1
264,16,149,1
265,16,108,1
266,16,380,1
267,16,0,1
268,16,245,1
269,16,38,1
270,16,58,1
271,16,343,1
272,20,459,1
273,20,303,1
274,20,139,1
275,20,606,1
276,20,235,1
277,20,409,1
278,20,437,1
279,20,164,1
280,20,135,1
281,20,472,1
282,20,512,1
283,20,252,1
284,20,491,1
285,20,249,1
286,20,476,1
287,20,344,1
288,20,415,1
289,20,318,1
290,20,336,1
291,20,11,1
292,20,598,1
293,20,24,1
294,20,614,1
295,20,455,1
296,20,76,1
297,20,194,1
298,20,328,1
299,20,541,1
300,20,323,1
301,20,241,1
302,20,263,1
303,20,593,1
304,20,507,1
305,20,629,1
306,20,352,1
307,20,551,1
308,20,34,1
309,20,431,1
310,20,302,1
311,20,364,1
312,20,56,1
313,20,523,1
314,20,620,1
315,20,343,1
316,20,570,1
317,20,334,1
318,20,401,1
319,20,554,1
320,20,335,1
321,20,118,1
322,20,181,1
323,20,433,1
324,20,253,1
325,20,240,1
326,20,195,1
327,20,324,1
328,20,497,1
329,20,288,1
330,20,271,1
331,20,578,1
332,20,585,1
333,20,566,1
334,20,237,1
335,20,102,1
336,20,387,1
337,20,155,1
338,20,119,1
339,20,607,1
340,20,596,1
341,20,158,1
342,20,180,1
343,20,61,1
344,20,141,1
345,20,63,1
346,20,267,1
347,20,145,1
348,20,400,1
349,20,91,1
350,20,544,1
351,20,590,1
352,20,43,1
353,20,223,1
354,20,451,1
355,20,128,1
356,20,13,1
357,20,292,1
358,20,408,1
359,20,12,1
360,20,191,1
361,20,94,1
362,20,422,1
363,20,506,1
364,20,293,1
365,20,45,1
366,20,60,1
367,20,92,1
368,20,84,1
369,20,68,1
370,20,309,1
371,20,569,1
372,20,594,1
373,20,107,1
374,20,50,1
375,20,153,1
376,20,556,1
377,20,349,1
378,20,470,1
379,20,572,1
380,20,388,1
381,20,545,1
382,20,372,1
383,20,114,1
384,20,130,1
385,20,196,1
386,20,159,1
387,20,144,1
388,20,467,1
389,20,329,1
390,20,413,1
391,20,262,1
392,20,486,1
393,20,477,1
394,20,16,1
395,20,452,1
396,20,200,1
397,20,403,1
398,20,540,1
399,20,176,1
400,20,605,1
401,20,601,1
402,20,508,1
403,20,522,1
404,20,537,1
405,20,142,1
406,20,346,1
407,20,306,1
408,20,526,1
409,20,217,1
410,20,407,1
411,20,418,1
412,20,219,1
413,20,179,1
414,20,39,1
415,20,362,1
416,20,564,1
417,20,40,1
418,20,258,1
419,20,510,1
420,20,426,1
421,20,382,1
422,20,285,1
423,20,423,1
424,20,458,1
425,20,505,1
426,20,27,1
427,20,166,1
428,20,503,1
429,20,325,1
430,20,380,1
431,20,35,1
432,20,254,1
433,20,72,1
434,20,310,1
435,20,424,1
436,20,278,1
437,20,535,1
438,20,623,1
439,20,454,1
440,20,584,1
441,20,7,1
442,20,295,1
443,20,14,1
444,20,322,1
445,20,368,1
446,20,332,1
447,20,532,1
448,20,627,1
449,20,79,1
450,20,573,1
451,20,300,1
452,20,218,1
453,20,410,1
454,20,21,1
455,20,521,1
456,20,600,1
457,20,304,1
458,20,539,1
459,20,462,1
460,20,86,1
461,20,246,1
462,20,104,1
463,20,567,1
464,20,10,1
465,20,432,1
466,20,575,1
467,20,111,1
468,20,450,1
469,20,484,1
470,20,1,1
471,20,208,1
472,20,3,1
473,20,613,1
474,20,446,1
475,20,162,1
476,20,290,1
477,20,85,1
478,20,553,1
479,20,473,1
480,20,232,1
481,20,54,1
482,20,365,1
483,20,197,1
484,20,44,1
485,20,444,1
486,20,239,1
487,20,207,1
488,20,272,1
489,20,488,1
490,20,445,1
491,20,108,1
492,20,87,1
493,20,393,1
494,20,199,1
495,20,206,1
496,20,31,1
497,20,224,1
498,20,571,1
499,20,243,1
500,20,482,1
501,20,580,1
502,20,193,1
503,20,548,1
504,20,161,1
505,20,538,1
506,20,502,1
507,20,589,1
508,20,46,1
509,20,265,1
510,20,52,1
511,20,248,1
512,20,226,1
513,20,574,1
514,20,154,1
515,20,173,1
516,20,536,1
517,20,106,1
518,20,55,1
519,20,348,1
520,20,517,1
521,20,137,1
522,20,406,1
523,20,529,1
524,20,381,1
525,20,185,1
526,20,568,1
527,20,356,1
528,20,152,1
529,20,230,1
530,20,439,1
531,20,189,1
532,20,105,1
533,20,602,1
534,20,449,1
535,20,149,1
536,20,188,1
537,20,273,1
538,20,316,1
539,20,480,1
540,20,438,1
541,20,468,1
542,20,187,1
543,20,587,1
544,20,479,1
545,20,2,1
546,20,370,1
547,20,395,1
