#ID	Name
G0	NFAT5
G1	REXO4
G2	ORC2
G3	IRF8
G4	XRCC6
G5	GTF2F1
G6	NFKBIA
G7	MAPK1
G8	MAPK12
G9	ZDHHC6
G10	PHF10
G11	ZBTB20
G12	E2F4
G13	CENPK
G14	DEK
G15	RPA1
G16	CBX7
G17	ERCC8
G18	NFIA
G19	ABL1
G20	JUN
G21	RNF4
G22	SALL2
G23	LMO4
G24	NUPR1
G25	SRSF1
G26	STAT2
G27	RB1
G28	TLE2
G29	HNRNPAB
G30	SMARCA2
G31	GFI1B
G32	VDR
G33	SPI1
G34	SATB1
G35	JARID2
G36	IRF7
G37	RUNX1T1
G38	HDAC2
G39	HDGF
G40	PRDM16
G41	GATA2
G42	ZBTB16
G43	BTAF1
G44	TTF2
G45	RORC
G46	IKZF1
G47	NR3C2
G48	HIF3A
G49	TRPS1
G50	WDR5
G51	FEM1B
G52	MECOM
G53	HDAC11
G54	RELB
G55	TSC22D3
G56	BATF2
G57	CTR9
G58	MYC
G59	CBFB
G60	YBX1
G61	TRIB3
G62	IRF9
G63	HDAC7
G64	LZTS1
G65	PLAG1
G66	SPO11
G67	MYCN
G68	CSRP3
G69	TEAD2
G70	ZFP467
G71	RUVBL2
G72	ZEB2
G73	PA2G4
G74	APBB1
G75	HCFC1
G76	TOPORS
G77	NFE2
G78	RPA2
G79	MLLT3
G80	TAF12
G81	RARB
G82	SNRPB
G83	NDN
G84	EPAS1
G85	MCM6
G86	XPC
G87	EYA2
G88	BTG2
G89	PBX1
G90	FOXO1
G91	DDX58
G92	RPS6KA5
G93	ELP2
G94	IRF6
G95	ARID3B
G96	H1F0
G97	ZFP36
G98	POLR1B
G99	MCM5
G100	HLF
G101	RORA
G102	NFATC2
G103	ATF7
G104	CREB5
G105	MED16
G106	MIS18BP1
G107	TCF19
G108	EGR1
G109	SOX18
G110	POLR2B
G111	PHB2
G112	ELF1
G113	RAD51
G114	ZDHHC13
G115	KLF6
G116	SLA2
G117	MYB
G118	XRCC3
G119	MCM3
G120	MEIS1
G121	REL
G122	HMGB2
G123	DDX20
G124	NAP1L3
G125	E2F8
G126	MCM4
G127	MCM2
G128	MAML3
G129	MXD3
G130	ZBTB38
G131	TLR4
G132	MCM7
G133	EBF1
G134	GTF2H1
G135	FCGR3
G136	EZR
G137	MIS12
G138	AKAP8L
G139	TARS
G140	TCN2
G141	USP10
G142	DEF8
G143	GNG11
G144	RGCC
G145	TBC1D5
G146	DNAJC10
G147	RHOF
G148	LAP3
G149	RGS2
G150	ITGAL
G151	GIMAP5
G152	APOE
G153	TOP2A
G154	CLPTM1L
G155	VAV3
G156	OSBPL1A
G157	TMX3
G158	GALNT6
G159	ATP8B4
G160	PREP
G161	SMPDL3A
G162	EIF1AD
G163	MYO5A
G164	PLAA
G165	WDR55
G166	TMEM50B
G167	NEURL3
G168	LY6A
G169	ARL6IP6
G170	TBC1D10C
G171	PTGR1
G172	SPNS3
G173	KAT7
G174	LTB
G175	SERPINB9
G176	H2-OB
G177	SLC28A2
G178	NEAT1
G179	ADO
G180	ITM2A
G181	MYO1G
G182	PNO1
G183	MLKL
G184	LCP2
G185	TMX4
G186	CALCRL
G187	ARL11
G188	DNM1L
G189	GPR65
G190	CKAP5
G191	NCF1
G192	SESN1
G193	CTLA2B
G194	CYB5R1
G195	RAB44
G196	PLEK
G197	RPRD1B
G198	PRKCH
G199	PTGS1
G200	SCARB1
G201	TESPA1
G202	SLC30A5
G203	GRIA3
G204	MPO
G205	MYO1F
G206	UMPS
G207	CDCA8
G208	DCAF13
G209	CD53
G210	PCMTD1
G211	TPM4
G212	UNC93B1
G213	USP11
G214	GBP2
G215	CTSO
G216	MAD2L1
G217	BID
G218	MICU1
G219	TUBGCP3
G220	PBK
G221	MFSD14B
G222	TRIM59
G223	TIPIN
G224	TYROBP
G225	INTS13
G226	FAM111A
G227	LONP2
G228	NOP2
G229	DENND1C
G230	TOP3B
G231	NSD2
G232	CTSZ
G233	1700017B05RIK
G234	SLC18A2
G235	MOGS
G236	NAMPT
G237	GBP3
G238	RASA4
G239	FTSJ3
G240	XPNPEP1
G241	DPP8
G242	RP2
G243	RFC5
G244	EMCN
G245	TM6SF1
G246	SNAP23
G247	CSF3R
G248	METTL27
G249	ME2
G250	CASP4
G251	PLAC8
G252	ZNRF2
G253	CTC1
G254	ARID5A
G255	AFAP1L1
G256	ATP6AP1
G257	WDR4
G258	POLD1
G259	PSEN1
G260	TIE1
G261	PAK1
G262	IPO9
G263	TUBGCP2
G264	FAM76B
G265	ORC6
G266	AHCYL1
G267	TBC1D9B
G268	ACAA2
G269	PRPF4
G270	GLIPR2
G271	SLC39A6
G272	GCNT2
G273	ABHD17B
G274	RMND5A
G275	ITSN1
G276	CPA3
G277	F11R
G278	NDRG1
G279	STXBP4
G280	CERK
G281	NUP107
G282	NKG7
G283	PSTPIP1
G284	RCC1
G285	SNAP47
G286	PPP1R15A
G287	ERLIN1
G288	SAMD9L
G289	ATP6AP2
G290	CISH
G291	ADGRG3
G292	RFC4
G293	GMIP
G294	FCHO2
G295	ATG12
G296	CLEC12A
G297	ELANE
G298	STARD7
G299	TACC3
G300	LDHB
G301	DENND2D
G302	KPNA3
G303	GSR
G304	CSGALNACT1
G305	EPB41L4B
G306	PTTG1IP
G307	TRMT11
G308	MYL10
G309	PHF11B
G310	TGTP2
G311	GM5111
G312	GOLT1B
G313	GBP7
G314	UBL4A
G315	FDFT1
G316	PIM2
G317	PLEKHO2
G318	XAF1
G319	GLB1
G320	RABGGTB
G321	USP37
G322	PPAT
G323	LONP1
G324	ICAM1
G325	TK1
G326	GMCL1
G327	FCGR2B
G328	ANXA2
G329	FRRS1
G330	CDCA4
G331	TFG
G332	SEH1L
G333	IGSF6
G334	BCL2
G335	TRIM47
G336	GRINA
G337	HDC
G338	TBXAS1
G339	UAP1
G340	CYP2J9
G341	EBI3
G342	IGKC
G343	SLC19A1
G344	EML4
G345	SSH3
G346	TIMM29
G347	FGFR1OP
G348	CD82
G349	FGL2
G350	CD74
G351	TRPC6
G352	CASP1
G353	TMEM97
G354	TBL3
G355	IARS
G356	STT3B
G357	PFKP
G358	ATAD1
G359	CCDC50
G360	TYMS
G361	IGHM
G362	ARHGEF39
G363	NFAM1
G364	CCL9
G365	NDE1
G366	TNFRSF21
G367	PLD3
G368	FAM136A
G369	MRPL37
G370	IGTP
G371	COPB1
G372	LYN
G373	PHF6
G374	CD300A
G375	DLST
G376	SERPINB1A
G377	MAGED2
G378	CTSF
G379	CSAD
G380	GRK3
G381	FAM91A1
G382	MSH6
G383	GMFB
G384	NUDT19
G385	MYCT1
G386	AP3S1
G387	COLGALT1
G388	CSF2RB
G389	PRELID3B
G390	AGPS
G391	GIMAP1
G392	SPNS2
G393	PEAR1
G394	HACD4
G395	MKI67
G396	PCMTD2
G397	MAN2A2
G398	TSPAN14
G399	FUT7
G400	GIMAP6
G401	CFP
G402	CTSG
G403	ANXA1
G404	PANX1
G405	SHMT1
G406	PSAT1
G407	EMILIN1
G408	INPP5B
G409	H2-AA
G410	FOXRED1
G411	PRODH
G412	ATP13A1
G413	RTP4
G414	PRSS57
G415	RANGAP1
G416	JPT2
G417	EMID1
G418	ZFP24
G419	APLP2
G420	PDZK1IP1
G421	AKNA
G422	SHISA8
G423	TXNDC11
G424	CHRNB1
G425	ADA
G426	NCLN
G427	LY6C2
G428	GPR160
G429	CYBC1
G430	TRP53I11
G431	MAP4K2
G432	KRT18
G433	PCLAF
G434	PLPPR3
G435	PRMT7
G436	SLC25A46
G437	PGLYRP2
G438	LGALS1
G439	TMEM206
G440	CAD
G441	MGAT5
G442	GNG12
G443	ARL8B
G444	MFSD1
G445	DUSP1
G446	UBE2L6
G447	SLCO3A1
G448	GUSB
G449	MTMR6
G450	CDC45
G451	ARHGEF18
G452	SGMS1
G453	CSTF2
G454	ZFP451
G455	CCNB2
G456	CUL3
G457	IIGP1
G458	DHFR
G459	ACOX1
G460	IFI44
G461	TMEM173
G462	MAPKAPK3
G463	TNIP3
G464	TCIRG1
G465	CERS4
G466	METTL7A1
G467	ANXA5
G468	SETD2
G469	GT(ROSA)26SOR
G470	SLC35B4
G471	GNS
G472	CDC7
G473	PLXNC1
G474	FCER1G
G475	DHX33
G476	GANAB
G477	ZFP367
G478	ANXA3
G479	OASL2
G480	BTK
G481	FUCA2
G482	POR
G483	SNX30
G484	NCEH1
G485	AURKB
G486	CD69
G487	POLE3
G488	FES
G489	DHRS3
G490	SORT1
G491	DOK2
G492	CYP2J6
G493	S100A6
G494	CTSL
G495	RCSD1
G496	MAGED1
G497	IARS2
G498	FLNB
G499	G6PDX
G500	GOLPH3
G501	RPS6KA3
G502	CD48
G503	MFNG
G504	MMRN1
G505	UBA7
G506	TES
G507	SH2D5
G508	MOB3C
G509	PADI4
G510	CCDC137
G511	SELL
G512	SDF2L1
G513	ABCG2
G514	F630028O10RIK
G515	MS4A3
G516	RGS1
G517	GMNN
G518	CASP12
G519	RAB37
G520	RARS
G521	PRIM2
G522	UBR7
G523	SLC2A3
G524	ELMO2
G525	BC005561
G526	PUS7
G527	IDH1
G528	PRPS2
G529	TRIM35
G530	ZFP35
G531	ST8SIA4
G532	SELENBP1
G533	ISYNA1
G534	SLC44A2
G535	HEXA
G536	VSIR
G537	CD9
G538	CNIH1
G539	B230219D22RIK
G540	IRGM2
G541	TFR2
G542	DNAJC11
G543	PRIM1
G544	TMEM43
G545	CNRIP1
G546	ESAM
G547	RASSF4
G548	SLC43A3
G549	MILR1
G550	SLA
G551	ST6GALNAC4
G552	CLN5
G553	CD52
G554	HK3
G555	MSMO1
G556	KCTD12
G557	ALAS1
G558	MTFR1
G559	VPS16
G560	4833439L19RIK
G561	FAR1
G562	MARS
G563	GM1966
G564	MORC3
G565	PRKCQ
G566	HELLS
G567	RANBP3
G568	CSGALNACT2
G569	CST7
G570	TCP11L2
G571	RRM1
G572	FLOT2
G573	RRM2
G574	RAB31
G575	PROCR
G576	FLT3
G577	NADK
G578	SCARF1
G579	GIMAP1OS
G580	METAP1
G581	TGM2
G582	NCAPD2
G583	BACE1
G584	CYP4V3
G585	PARP8
G586	MS4A6C
G587	IL27RA
G588	UHRF1
G589	UTP4
G590	HP
G591	PTDSS1
G592	ADSSL1
G593	FASTKD2
G594	IL21R
G595	ITIH5
G596	SERPINA3G
G597	CHORDC1
G598	ABCB8
G599	CTLA2A
G600	FIGNL1
G601	CDT1
G602	DNAJC5
G603	ATP11C
G604	EPSTI1
G605	PLIN3
G606	TM7SF3
G607	OTUD6B
G608	INO80D
G609	BC035044
G610	LIG1
G611	2610035D17RIK
G612	CCL4
G613	CDC6
G614	COQ8A
G615	TMEM229B
G616	LAPTM4B
G617	GM4759
G618	HACD3
G619	VPS35
G620	TOR3A
G621	ACOT9
G622	IL12A
G623	RPP40
G624	MPL
G625	PECAM1
G626	ZFP945
G627	MTREX
G628	OTULINL
G629	ALDH9A1
G630	DUS1L
G631	MUC13
