#ID,TF,index
0,1,271
1,1,19
2,1,479
3,1,148
4,1,285
5,1,485
6,1,533
7,1,68
8,1,356
9,1,314
10,1,587
11,1,691
12,1,487
13,1,402
14,1,226
15,1,502
16,1,341
17,1,481
18,1,459
19,1,369
20,1,37
21,1,342
22,1,374
23,1,186
24,1,234
25,1,32
26,1,287
27,1,412
28,1,668
29,1,52
30,1,404
31,1,529
32,1,355
33,1,333
34,1,650
35,1,652
36,1,220
37,1,84
38,1,322
39,1,638
40,1,512
41,1,336
42,1,26
43,1,17
44,1,460
45,1,548
46,1,506
47,1,10
48,1,168
49,1,275
50,1,93
51,1,567
52,1,278
53,1,156
54,1,387
55,1,53
56,1,414
57,1,230
58,1,158
59,1,15
60,1,530
61,1,372
62,1,228
63,1,81
64,1,205
65,1,127
66,1,55
67,1,583
68,1,636
69,1,379
70,1,192
71,1,174
72,1,546
73,1,413
74,1,318
75,1,253
76,1,630
77,1,346
78,1,523
79,1,613
80,1,247
81,1,51
82,1,137
83,1,381
84,1,581
85,1,180
86,1,328
87,1,606
88,1,151
89,1,265
90,1,534
91,1,403
92,1,673
93,1,94
94,1,667
95,1,446
96,1,162
97,1,365
98,1,380
99,1,452
100,1,488
101,1,654
102,1,382
103,1,248
104,1,135
105,1,175
106,1,508
107,1,153
108,1,571
109,1,155
110,1,541
111,1,70
112,1,184
113,1,133
114,1,260
115,1,482
116,1,91
117,1,385
118,1,578
119,1,124
120,1,211
121,1,243
122,1,390
123,1,557
124,1,126
125,1,384
126,1,270
127,1,433
128,1,467
129,1,360
130,1,625
131,1,261
132,1,436
133,1,209
134,1,254
135,1,494
136,1,386
137,1,54
138,1,678
139,1,161
140,1,569
141,1,400
142,1,392
143,1,543
144,1,200
145,1,511
146,1,196
147,1,43
148,1,146
149,1,223
150,1,547
151,1,325
152,1,396
153,1,42
154,1,217
155,1,448
156,1,524
157,1,465
158,1,21
159,1,2
160,1,131
161,1,435
162,1,311
163,1,410
164,1,300
165,1,302
166,1,647
167,1,624
168,1,295
169,1,593
170,1,145
171,1,35
172,1,493
173,1,659
174,1,579
175,1,99
176,1,65
177,1,513
178,1,14
179,1,204
180,1,83
181,1,373
182,1,292
183,1,245
184,1,121
185,1,60
186,1,157
187,1,229
188,1,90
189,1,244
190,1,73
191,1,394
192,1,214
193,1,219
194,1,251
195,1,409
196,1,531
197,1,526
198,1,241
199,1,59
200,1,255
201,1,152
202,1,503
203,1,238
204,1,150
205,1,405
206,1,690
207,1,417
208,1,686
209,1,280
210,1,329
211,1,521
212,1,651
213,1,117
214,1,609
215,1,375
216,1,591
217,1,421
218,1,29
219,1,88
220,1,108
221,1,641
