#ID,TF,index
0,RAG2,0
1,CBFB,1
2,MYCN,2
3,NUPR1,3
4,DACH1,4
5,PRDM16,5
6,TEAD2,6
7,NOTCH1,7
8,KLF3,8
9,HNF4A,9
10,ZBTB20,10
11,MYC,11
12,IRF6,12
13,NFIA,13
14,CBX7,14
15,MCM4,15
16,PBX1,16
17,ELF1,17
18,ELL2,18
19,NFE2,19
20,NR3C2,20
21,MCM5,21
22,TSC22D3,22
23,NDN,23
24,SPI1,24
25,RUNX1T1,25
26,XPC,26
27,HLF,27
28,VDR,28
29,YBX1,29
30,RARB,30
31,RUNX2,31
32,XRCC6,32
33,GATA2,33
34,MEIS1,34
35,HMGB2,35
36,HOXA9,36
37,EYA2,37
38,FOXO1,38
39,IKZF1,39
40,TRIB3,40
41,IRF8,41
42,REL,42
43,HNRNPAB,43
44,KLF6,44
45,MEF2C,45
46,PGR,46
47,GFI1B,47
48,ESR1,48
49,MAML3,49
50,MECOM,50
51,SATB1,51
52,HDAC7,52
53,MCM7,53
54,CD7,54
55,CTR9,55
56,SOX18,56
57,H1F0,57
58,BTG2,58
59,RORA,59
60,MLLT3,60
