G0	RAG2
G1	CBFB
G2	MYCN
G3	NUPR1
G4	DACH1
G5	PRDM16
G6	TEAD2
G7	NOTCH1
G8	KLF3
G9	HNF4A
G10	ZBTB20
G11	MYC
G12	IRF6
G13	NFIA
G14	CBX7
G15	MCM4
G16	PBX1
G17	ELF1
G18	ELL2
G19	NFE2
G20	NR3C2
G21	MCM5
G22	TSC22D3
G23	NDN
G24	SPI1
G25	RUNX1T1
G26	XPC
G27	HLF
G28	VDR
G29	YBX1
G30	RARB
G31	RUNX2
G32	XRCC6
G33	GATA2
G34	MEIS1
G35	HMGB2
G36	HOXA9
G37	EYA2
G38	FOXO1
G39	IKZF1
G40	TRIB3
G41	IRF8
G42	REL
G43	HNRNPAB
G44	KLF6
G45	MEF2C
G46	PGR
G47	GFI1B
G48	ESR1
G49	MAML3
G50	MECOM
G51	SATB1
G52	HDAC7
G53	MCM7
G54	CD7
G55	CTR9
G56	SOX18
G57	H1F0
G58	BTG2
G59	RORA
G60	MLLT3
