,TF,Target,Label
0,0,131,1
1,0,562,1
2,0,428,1
3,0,443,1
4,0,275,1
5,0,214,1
6,0,409,1
7,0,526,1
8,0,401,1
9,0,612,1
10,0,253,1
11,0,642,1
12,0,347,1
13,0,162,1
14,0,467,1
15,0,457,1
16,0,11,1
17,0,641,1
18,0,427,1
19,0,664,1
20,0,336,1
21,0,7,1
22,0,138,1
23,0,269,1
24,0,83,1
25,0,438,1
26,0,501,1
27,0,485,1
28,0,356,1
29,0,595,1
30,0,452,1
31,0,161,1
32,0,388,1
33,0,129,1
34,0,524,1
35,0,489,1
36,0,38,1
37,0,132,1
38,0,609,1
39,0,497,1
40,0,531,1
41,0,139,1
42,0,370,1
43,0,39,1
44,0,390,1
45,0,167,1
46,0,373,1
47,0,99,1
48,0,579,1
49,0,513,1
50,0,683,1
51,0,177,1
52,0,394,1
53,0,260,1
54,0,662,1
55,0,65,1
56,0,277,1
57,0,341,1
58,0,221,1
59,0,433,1
60,0,31,1
61,0,614,1
62,0,287,1
63,0,514,1
64,0,498,1
65,0,292,1
66,0,533,1
67,0,299,1
68,0,151,1
69,0,647,1
70,0,333,1
71,0,48,1
72,0,342,1
73,0,201,1
74,0,368,1
75,0,540,1
76,0,153,1
77,0,211,1
78,0,372,1
79,0,446,1
80,0,633,1
81,0,230,1
82,0,383,1
83,0,314,1
84,0,630,1
85,0,52,1
86,0,18,1
87,0,155,1
88,0,432,1
89,0,308,1
90,0,367,1
91,0,511,1
92,0,281,1
93,0,487,1
94,0,225,1
95,0,362,1
96,0,309,1
97,0,51,1
98,0,593,1
99,0,613,1
100,0,180,1
101,0,412,1
102,0,527,1
103,0,250,1
104,0,488,1
105,0,371,1
106,0,484,1
107,0,431,1
108,0,447,1
109,0,350,1
110,0,653,1
111,0,76,1
112,0,496,1
113,0,587,1
114,0,79,1
115,0,543,1
116,0,256,1
117,0,21,1
118,0,429,1
119,0,450,1
120,0,37,1
121,0,255,1
122,0,196,1
123,0,557,1
124,0,41,1
125,0,107,1
126,0,382,1
127,0,265,1
128,0,134,1
129,0,691,1
130,0,448,1
131,0,658,1
132,0,254,1
133,0,323,1
134,0,380,1
135,0,285,1
136,0,171,1
137,0,185,1
138,0,550,1
139,0,209,1
140,0,300,1
141,0,233,1
142,0,192,1
143,0,581,1
144,0,378,1
145,0,343,1
146,0,44,1
147,0,598,1
148,0,548,1
149,0,13,1
