#ID	Name
G0	RAG2
G1	CBFB
G2	MYCN
G3	NUPR1
G4	DACH1
G5	PRDM16
G6	TEAD2
G7	NOTCH1
G8	KLF3
G9	HNF4A
G10	ZBTB20
G11	MYC
G12	IRF6
G13	NFIA
G14	CBX7
G15	MCM4
G16	PBX1
G17	ELF1
G18	ELL2
G19	NFE2
G20	NR3C2
G21	MCM5
G22	TSC22D3
G23	NDN
G24	SPI1
G25	RUNX1T1
G26	XPC
G27	HLF
G28	VDR
G29	YBX1
G30	RARB
G31	RUNX2
G32	XRCC6
G33	GATA2
G34	MEIS1
G35	HMGB2
G36	HOXA9
G37	EYA2
G38	FOXO1
G39	IKZF1
G40	TRIB3
G41	IRF8
G42	REL
G43	HNRNPAB
G44	KLF6
G45	MEF2C
G46	PGR
G47	GFI1B
G48	ESR1
G49	MAML3
G50	MECOM
G51	SATB1
G52	HDAC7
G53	MCM7
G54	CD7
G55	CTR9
G56	SOX18
G57	H1F0
G58	BTG2
G59	RORA
G60	MLLT3
G61	NAV1
G62	CD63
G63	APP
G64	DEPP1
G65	UBA7
G66	GP9
G67	MTUS1
G68	SSH2
G69	GM45837
G70	CD69
G71	HSD3B7
G72	JAM2
G73	RGS2
G74	E430014B02RIK
G75	PDE1B
G76	5430427O19RIK
G77	PTGS1
G78	ZFP612
G79	MSMO1
G80	TIE1
G81	ARHGAP15
G82	WFDC17
G83	FADS1
G84	ICOS
G85	TCAF1
G86	MPO
G87	CPXM1
G88	PARVG
G89	GIMAP1OS
G90	LSP1
G91	ANXA5
G92	MAGED1
G93	ZFP62
G94	CKS1B
G95	SLA
G96	FCGRT
G97	KBTBD11
G98	CHIL5
G99	NRROS
G100	TM4SF1
G101	ENG
G102	KLHL4
G103	IPCEF1
G104	WLS
G105	USP11
G106	SLC44A2
G107	PLD4
G108	SYTL1
G109	ALDH1A1
G110	PLEKHG6
G111	PECAM1
G112	NEAT1
G113	CDK18
G114	CAR2
G115	FAM171B
G116	MN1
G117	RFTN1
G118	TEK
G119	ESAM
G120	VEGFC
G121	CCT2
G122	PIRB
G123	BC035044
G124	NWD1
G125	RBPMS
G126	RNF125
G127	ITGB2
G128	MPL
G129	IFI209
G130	CADPS2
G131	LACTB
G132	RP2
G133	CISH
G134	FUT8
G135	DCK
G136	IL18BP
G137	SPNS3
G138	PKIB
G139	PRNP
G140	GM973
G141	CORO1A
G142	TIPIN
G143	SDC1
G144	LTB
G145	DUSP6
G146	UHRF1
G147	BDH2
G148	CAMSAP2
G149	2810468N07RIK
G150	MYO5A
G151	DUSP5
G152	SAMSN1
G153	LAX1
G154	OAS2
G155	NLRC3
G156	PPCDC
G157	KAZALD1
G158	ATP8B4
G159	IFITM3
G160	NCF1
G161	ART4
G162	UBASH3A
G163	IFI206
G164	TMSB4X
G165	LHCGR
G166	IGHV1-74
G167	GPC1
G168	VAMP1
G169	GDF3
G170	ARHGEF28
G171	FSTL1
G172	MPDZ
G173	TTC39B
G174	ARHGDIB
G175	CST7
G176	PAG1
G177	POLA2
G178	HACD4
G179	SLAMF1
G180	PLIN3
G181	IGLV1
G182	CLU
G183	EFNA1
G184	GAS2L3
G185	ITGB5
G186	TBXA2R
G187	ADGRL4
G188	SULT1A1
G189	TM6SF1
G190	KRT18
G191	RHBDF1
G192	ZFP422
G193	MRVI1
G194	F11R
G195	IGF1
G196	RNF13
G197	ATP1A3
G198	LAG3
G199	FHL1
G200	COQ8A
G201	PLAC8
G202	9530082P21RIK
G203	CLEC2I
G204	GAA
G205	MOGS
G206	SERPINA3N
G207	PRPS2
G208	CTNND2
G209	CLEC12A
G210	SMPDL3A
G211	SERPINB6A
G212	GM5111
G213	ADGRG3
G214	SLC16A10
G215	GDA
G216	RNASE6
G217	GSTM1
G218	SLCO3A1
G219	EEPD1
G220	PPM1G
G221	SERPINA3G
G222	ADAM17
G223	RCSD1
G224	PLEK
G225	SERPINA3F
G226	PRKCH
G227	SCARF1
G228	TUBB4B
G229	RPL41
G230	RPS27L
G231	IGHD
G232	ARL11
G233	RASA4
G234	CMAH
G235	IGHV1-69
G236	WFDC18
G237	NCKAP1
G238	CREG1
G239	CHRNB1
G240	GIMAP5
G241	SPC24
G242	CTTN
G243	LRRC8C
G244	ANXA2
G245	PTP4A3
G246	FUCA2
G247	ZYX
G248	P2RX1
G249	SFRP1
G250	TMEM176B
G251	RGS19
G252	SHISA9
G253	MPZL1
G254	TRPV2
G255	PLXDC2
G256	IFI27
G257	CTSG
G258	ANGPT1
G259	AI504432
G260	DTL
G261	LGMN
G262	H2-OB
G263	ARHGAP27
G264	SDC2
G265	KCTD12
G266	LGALS1
G267	ARHGEF18
G268	MILR1
G269	PDGFC
G270	GPR18
G271	SLC2A3
G272	CX3CL1
G273	XIST
G274	CD27
G275	LCP1
G276	F630028O10RIK
G277	TINAGL1
G278	GPR171
G279	ZMIZ1
G280	TXNIP
G281	INHBA
G282	4833407H14RIK
G283	VWF
G284	TALDO1
G285	SLC39A13
G286	NDNF
G287	SLC26A11
G288	SIGLECG
G289	CES2G
G290	LDHD
G291	CD63-PS
G292	ERP29
G293	GGT5
G294	GM20342
G295	NDRG2
G296	UNC93B1
G297	CERS4
G298	PRIM1
G299	UQCR11
G300	CAMK1D
G301	C030034L19RIK
G302	GNG2
G303	NOXA1
G304	METTL7A1
G305	RNF213
G306	ARHGAP29
G307	PTGER2
G308	SLC29A1
G309	COX6A1
G310	TMEM14C
G311	CD44
G312	ICA1
G313	IGKC
G314	F2R
G315	CD244A
G316	PRUNE2
G317	TMEM37
G318	ELOVL5
G319	GIMAP1
G320	IGHV1-77
G321	TLR7
G322	PAFAH2
G323	TRAF1
G324	CTSF
G325	GM2A
G326	SHROOM4
G327	SDSL
G328	SLC9A9
G329	TOP2A
G330	IGFBP4
G331	SERPINF1
G332	PLPPR3
G333	RASAL3
G334	TIFAB
G335	ITGAM
G336	TESPA1
G337	GM11346
G338	IGHM
G339	GM10419
G340	FLT3
G341	LY9
G342	RANBP1
G343	COX7B
G344	XDH
G345	CDKN1C
G346	PBLD2
G347	ARRDC4
G348	GPX3
G349	JCHAIN
G350	SH2D5
G351	CRACR2B
G352	TRIM16
G353	PRR5
G354	GM10384
G355	CIPC
G356	TES
G357	CCL9
G358	GM4759
G359	OBSL1
G360	RASSF2
G361	TBC1D5
G362	NEURL3
G363	CTSH
G364	ITM2A
G365	ARPP21
G366	DNTT
G367	GGTA1
G368	AMIGO2
G369	ACAP1
G370	HAAO
G371	KIF17
G372	ITGAL
G373	VAMP5
G374	SLBP
G375	CARD11
G376	SELL
G377	2610307P16RIK
G378	BLNK
G379	GBP4
G380	TPM4
G381	DOK2
G382	PANX1
G383	CRIP1
G384	SNAP47
G385	LARS2
G386	NPM1
G387	H2AFY
G388	HCK
G389	FUT7
G390	IL17RE
G391	ARHGEF39
G392	CTSB
G393	NKG7
G394	GBP9
G395	D630039A03RIK
G396	UCP2
G397	SLC16A2
G398	SGMS1
G399	UNC45BOS
G400	PRSS57
G401	GRAMD1A
G402	SPNS2
G403	NCAPD2
G404	PTPRE
G405	TRIM59
G406	KLRD1
G407	TRIM47
G408	TMEM268
G409	NUDT19
G410	ZNRF2
G411	H2-Q6
G412	DYNLL1
G413	PKN3
G414	ST8SIA4
G415	CD38
G416	SNAP23
G417	TNFAIP2
G418	IL1R1
G419	TYROBP
G420	CSF1R
G421	BPIFC
G422	ABCG2
G423	SELENOP
G424	IGHJ4
G425	NAPSA
G426	IGHV1-76
G427	EPSTI1
G428	FAM110C
G429	TTLL7
G430	DRC7
G431	GHR
G432	CD74
G433	ZFP367
G434	OBSCN
G435	APLP2
G436	FDFT1
G437	RHOJ
G438	MPEG1
G439	PLXNC1
G440	NAIP6
G441	TNS2
G442	PF4
G443	TBXAS1
G444	TMEM246
G445	VAV3
G446	DEF8
G447	PDZK1IP1
G448	EVI2A
G449	PGRMC1
G450	CSF3R
G451	GSTT1
G452	CAPG
G453	INSRR
G454	EBI3
G455	CAVIN2
G456	SLFN2
G457	KIT
G458	GNG11
G459	NCEH1
G460	BTLA
G461	COX6A2
G462	DOCK11
G463	ANKRD44
G464	ENPP5
G465	LDHB
G466	CPNE8
G467	ME2
G468	TSPAN2
G469	PLSCR4
G470	IL12A
G471	TMEM206
G472	MMRN1
G473	SLC6A15
G474	SOCS2
G475	PDGFRB
G476	CD33
G477	GM19331
G478	ADSSL1
G479	ARID5A
G480	OTUB2
G481	TMEM123
G482	SELPLG
G483	SLC35D3
G484	LYN
G485	CARD6
G486	CLEC1A
G487	MGAT1
G488	PSTPIP1
G489	CAV2
G490	PDGFD
G491	N4BP3
G492	PEAR1
G493	IL7R
G494	PYGL
G495	IGHV1-82
G496	RAB40B
G497	AFDN
G498	PLK2
G499	CLCA3A1
G500	RAB38
G501	SP100
G502	TFR2
G503	CD48
G504	EMB
G505	FKBP9
G506	ZFP658
G507	IGHV1-53
G508	CTSL
G509	GIMAP8
G510	SLC22A3
G511	CDK19
G512	LONP2
G513	UAP1L1
G514	CCDC136
G515	DDX4
G516	SERPINB1A
G517	TGM2
G518	JAM3
G519	DENND2D
G520	LY86
G521	ITPR2
G522	UPP1
G523	OTULINL
G524	CYFIP2
G525	CCR9
G526	IRAK3
G527	CD81
G528	MAN1A
G529	AP1S2
G530	GPR65
G531	AMPD2
G532	FGD2
G533	DOCK10
G534	BCL2
G535	RRAS
G536	C230085N15RIK
