G0	EYA2
G1	HOXA9
G2	MCM5
G3	GATA2
G4	TEAD2
G5	NR3C2
G6	RUNX1T1
G7	ELF1
G8	CBX7
G9	NUPR1
G10	TRIB3
G11	NFE2
G12	MYC
G13	KLF3
G14	MLLT3
G15	ZBTB20
G16	SPI1
G17	HDAC7
G18	IRF6
G19	GFI1B
G20	PGR
G21	MCM4
G22	PRDM16
G23	VDR
G24	DACH1
G25	KLF6
G26	IRF8
G27	CBFB
G28	MEIS1
G29	NOTCH1
G30	MEF2C
G31	MAML3
G32	NFIA
G33	CTR9
G34	RAG2
G35	ESR1
G36	NDN
G37	HNF4A
G38	XRCC6
G39	RORA
G40	SATB1
G41	TSC22D3
G42	HNRNPAB
G43	XPC
G44	ELL2
G45	IKZF1
G46	MYCN
G47	MCM7
G48	HLF
G49	SOX18
G50	REL
G51	MECOM
G52	BTG2
G53	RARB
G54	H1F0
G55	CD7
G56	HMGB2
G57	FOXO1
G58	RUNX2
G59	PBX1
G60	YBX1
