#ID,Gene,index
0,EYA2,0
1,HOXA9,1
2,MCM5,2
3,GATA2,3
4,TEAD2,4
5,NR3C2,5
6,RUNX1T1,6
7,ELF1,7
8,CBX7,8
9,NUPR1,9
10,TRIB3,10
11,NFE2,11
12,MYC,12
13,KLF3,13
14,MLLT3,14
15,ZBTB20,15
16,SPI1,16
17,HDAC7,17
18,IRF6,18
19,GFI1B,19
20,PGR,20
21,MCM4,21
22,PRDM16,22
23,VDR,23
24,DACH1,24
25,KLF6,25
26,IRF8,26
27,CBFB,27
28,MEIS1,28
29,NOTCH1,29
30,MEF2C,30
31,MAML3,31
32,NFIA,32
33,CTR9,33
34,RAG2,34
35,ESR1,35
36,NDN,36
37,HNF4A,37
38,XRCC6,38
39,RORA,39
40,SATB1,40
41,TSC22D3,41
42,HNRNPAB,42
43,XPC,43
44,ELL2,44
45,IKZF1,45
46,MYCN,46
47,MCM7,47
48,HLF,48
49,SOX18,49
50,REL,50
51,MECOM,51
52,BTG2,52
53,RARB,53
54,H1F0,54
55,CD7,55
56,HMGB2,56
57,FOXO1,57
58,RUNX2,58
59,PBX1,59
60,YBX1,60
61,LDHB,61
62,TGM2,62
63,COL4A1,63
64,CD63-PS,64
65,TEK,65
66,AKNA,66
67,ITGA6,67
68,ENPP5,68
69,COQ8A,69
70,IL17RA,70
71,GAS2L3,71
72,DHRS3,72
73,LDHD,73
74,GM4951,74
75,NEAT1,75
76,UBASH3A,76
77,CTSS,77
78,SERPINB1A,78
79,TSPAN3,79
80,CD93,80
81,DYNLL1,81
82,AI504432,82
83,SGMS1,83
84,RHOH,84
85,GM45837,85
86,LY9,86
87,GSTM1,87
88,RAB38,88
89,MAGED2,89
90,SNAP47,90
91,CRIP1,91
92,GM11346,92
93,BC035044,93
94,NUCB2,94
95,CTSL,95
96,RASSF2,96
97,ART4,97
98,TRPC6,98
99,KCNK5,99
100,MCTP2,100
101,SERPINA3F,101
102,LONP2,102
103,9030619P08RIK,103
104,VAMP5,104
105,CSGALNACT1,105
106,SPC24,106
107,ABHD17B,107
108,EMP1,108
109,CPXM1,109
110,PRPS2,110
111,IGHV1-74,111
112,SDC1,112
113,WFDC18,113
114,ANGPT1,114
115,FSTL1,115
116,ITGB2,116
117,MILR1,117
118,ENG,118
119,IGHV1-82,119
120,ITPR2,120
