#ID	Name
G0	EYA2
G1	HOXA9
G2	MCM5
G3	GATA2
G4	TEAD2
G5	NR3C2
G6	RUNX1T1
G7	ELF1
G8	CBX7
G9	NUPR1
G10	TRIB3
G11	NFE2
G12	MYC
G13	KLF3
G14	MLLT3
G15	ZBTB20
G16	SPI1
G17	HDAC7
G18	IRF6
G19	GFI1B
G20	PGR
G21	MCM4
G22	PRDM16
G23	VDR
G24	DACH1
G25	KLF6
G26	IRF8
G27	CBFB
G28	MEIS1
G29	NOTCH1
G30	MEF2C
G31	MAML3
G32	NFIA
G33	CTR9
G34	RAG2
G35	ESR1
G36	NDN
G37	HNF4A
G38	XRCC6
G39	RORA
G40	SATB1
G41	TSC22D3
G42	HNRNPAB
G43	XPC
G44	ELL2
G45	IKZF1
G46	MYCN
G47	MCM7
G48	HLF
G49	SOX18
G50	REL
G51	MECOM
G52	BTG2
G53	RARB
G54	H1F0
G55	CD7
G56	HMGB2
G57	FOXO1
G58	RUNX2
G59	PBX1
G60	YBX1
G61	LDHB
G62	TGM2
G63	COL4A1
G64	CD63-PS
G65	TEK
G66	AKNA
G67	ITGA6
G68	ENPP5
G69	COQ8A
G70	IL17RA
G71	GAS2L3
G72	DHRS3
G73	LDHD
G74	GM4951
G75	NEAT1
G76	UBASH3A
G77	CTSS
G78	SERPINB1A
G79	TSPAN3
G80	CD93
G81	DYNLL1
G82	AI504432
G83	SGMS1
G84	RHOH
G85	GM45837
G86	LY9
G87	GSTM1
G88	RAB38
G89	MAGED2
G90	SNAP47
G91	CRIP1
G92	GM11346
G93	BC035044
G94	NUCB2
G95	CTSL
G96	RASSF2
G97	ART4
G98	TRPC6
G99	KCNK5
G100	MCTP2
G101	SERPINA3F
G102	LONP2
G103	9030619P08RIK
G104	VAMP5
G105	CSGALNACT1
G106	SPC24
G107	ABHD17B
G108	EMP1
G109	CPXM1
G110	PRPS2
G111	IGHV1-74
G112	SDC1
G113	WFDC18
G114	ANGPT1
G115	FSTL1
G116	ITGB2
G117	MILR1
G118	ENG
G119	IGHV1-82
G120	ITPR2
G121	CCR7
G122	F2R
G123	CD48
G124	CTSF
G125	C030034L19RIK
G126	UHRF1
G127	STK10
G128	MOGS
G129	RNF125
G130	MGAT1
G131	PLXNA4OS1
G132	PKN3
G133	USP11
G134	SLC39A6
G135	SPNS2
G136	METTL7A1
G137	GPR65
G138	IL1R1
G139	ALDH1A1
G140	IL18BP
G141	ITSN1
G142	TRIM59
G143	GPR171
G144	SLCO3A1
G145	MN1
G146	C130089K02RIK
G147	TTC39B
G148	CTSG
G149	PTGS1
G150	FUT8
G151	GM20342
G152	IGHV1-81
G153	TFEC
G154	UBE2L6
G155	ANXA2
G156	IFI27L2A
G157	IGHM
G158	TFPI
G159	ITM2A
G160	SDSL
G161	FHL1
G162	LTB
G163	COL4A2
G164	DENND2D
G165	PLAC8
G166	PAG1
G167	FLNA
G168	SIGLECG
G169	CD53
G170	PAFAH2
G171	SLA
G172	GM37124
G173	BDH2
G174	SMPDL3A
G175	WLS
G176	BCL2
G177	PF4
G178	OAS2
G179	CDK19
G180	SP100
G181	SLBP
