0.498+0.009,0.498+0.009,0.439+0.006,0.498+0.009,0.422+0.006,0.728+0.011,0.661+0.010
0.622+0.010,0.622+0.010,0.570+0.011,0.622+0.010,0.587+0.011,0.855+0.005,0.828+0.006
0.661+0.005,0.661+0.005,0.602+0.004,0.661+0.005,0.636+0.010,0.881+0.002,0.866+0.002
0.510+0.003,0.510+0.003,0.439+0.004,0.510+0.003,0.447+0.004,0.743+0.002,0.700+0.003
0.645+0.004,0.645+0.004,0.576+0.002,0.645+0.004,0.601+0.003,0.865+0.002,0.844+0.001
0.687+0.005,0.687+0.005,0.626+0.005,0.687+0.005,0.658+0.012,0.889+0.001,0.877+0.001
0.519+0.008,0.519+0.008,0.506+0.011,0.519+0.008,0.528+0.010,0.785+0.003,0.787+0.004
0.686+0.005,0.686+0.005,0.651+0.004,0.686+0.005,0.713+0.005,0.901+0.002,0.900+0.003
0.645+0.014,0.645+0.014,0.610+0.012,0.645+0.014,0.606+0.012,0.859+0.002,0.848+0.002
0.369+0.004,0.369+0.004,0.359+0.005,0.369+0.004,0.352+0.004,0.637+0.003,0.619+0.003
0.573+0.001,0.573+0.001,0.571+0.003,0.573+0.001,0.569+0.002,0.818+0.001,0.814+0.002
0.562+0.002,0.562+0.002,0.562+0.006,0.562+0.002,0.550+0.003,0.812+0.003,0.809+0.003
0.490+0.012,0.490+0.012,0.407+0.011,0.490+0.012,0.447+0.017,0.745+0.008,0.701+0.008
0.692+0.006,0.692+0.006,0.631+0.006,0.692+0.006,0.689+0.008,0.898+0.004,0.878+0.005
0.481+0.010,0.481+0.010,0.412+0.008,0.481+0.010,0.468+0.003,0.782+0.008,0.746+0.004
0.587+0.014,0.587+0.014,0.452+0.016,0.587+0.014,0.500+0.020,0.809+0.007,0.760+0.007
0.767+0.013,0.767+0.013,0.690+0.017,0.767+0.013,0.729+0.017,0.930+0.008,0.907+0.011
0.459+0.027,0.459+0.027,0.383+0.021,0.459+0.027,0.486+0.014,0.804+0.007,0.786+0.002
0.517+0.019,0.517+0.019,0.378+0.018,0.517+0.019,0.438+0.034,0.777+0.017,0.706+0.016
0.730+0.018,0.730+0.018,0.622+0.021,0.730+0.018,0.696+0.031,0.922+0.010,0.882+0.014
0.479+0.026,0.479+0.026,0.274+0.029,0.479+0.026,0.315+0.027,0.748+0.030,0.641+0.015
