Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.520+0.006,0.520+0.006,0.466+0.009,0.520+0.006,0.476+0.007,0.775+0.006,0.725+0.005
0.829+0.003,0.829+0.003,0.811+0.004,0.829+0.003,0.824+0.003,0.961+0.001,0.958+0.002
0.634+0.016,0.634+0.016,0.552+0.027,0.634+0.016,0.593+0.011,0.875+0.003,0.856+0.004
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.520+0.006,0.520+0.006,0.466+0.009,0.520+0.006,0.476+0.007,0.775+0.006,0.725+0.005
0.829+0.003,0.829+0.003,0.811+0.004,0.829+0.003,0.824+0.003,0.961+0.001,0.958+0.002
0.634+0.016,0.634+0.016,0.552+0.027,0.634+0.016,0.593+0.011,0.875+0.003,0.856+0.004
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.520+0.006,0.520+0.006,0.466+0.009,0.520+0.006,0.476+0.007,0.775+0.006,0.725+0.005
0.829+0.003,0.829+0.003,0.811+0.004,0.829+0.003,0.824+0.003,0.961+0.001,0.958+0.002
0.634+0.016,0.634+0.016,0.552+0.027,0.634+0.016,0.593+0.011,0.875+0.003,0.856+0.004
