Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.548+0.004,0.548+0.004,0.483+0.005,0.548+0.004,0.502+0.008,0.780+0.003,0.756+0.005
0.840+0.005,0.840+0.005,0.817+0.007,0.840+0.005,0.832+0.004,0.964+0.001,0.960+0.001
0.673+0.006,0.673+0.006,0.611+0.021,0.673+0.006,0.631+0.007,0.881+0.001,0.865+0.001
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.548+0.004,0.548+0.004,0.483+0.005,0.548+0.004,0.502+0.008,0.780+0.003,0.756+0.005
0.840+0.005,0.840+0.005,0.817+0.007,0.840+0.005,0.832+0.004,0.964+0.001,0.960+0.001
0.673+0.006,0.673+0.006,0.611+0.021,0.673+0.006,0.631+0.007,0.881+0.001,0.865+0.001
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.548+0.004,0.548+0.004,0.483+0.005,0.548+0.004,0.502+0.008,0.780+0.003,0.756+0.005
0.840+0.005,0.840+0.005,0.817+0.007,0.840+0.005,0.832+0.004,0.964+0.001,0.960+0.001
0.673+0.006,0.673+0.006,0.611+0.021,0.673+0.006,0.631+0.007,0.881+0.001,0.865+0.001
