Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.505+0.007,0.505+0.007,0.514+0.004,0.505+0.007,0.527+0.007,0.784+0.002,0.786+0.003
0.830+0.002,0.830+0.002,0.818+0.002,0.830+0.002,0.846+0.004,0.966+0.001,0.968+0.001
0.588+0.018,0.588+0.018,0.532+0.014,0.588+0.018,0.557+0.006,0.838+0.006,0.822+0.002
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.505+0.007,0.505+0.007,0.514+0.004,0.505+0.007,0.527+0.007,0.784+0.002,0.786+0.003
0.830+0.002,0.830+0.002,0.818+0.002,0.830+0.002,0.846+0.004,0.966+0.001,0.968+0.001
0.588+0.018,0.588+0.018,0.532+0.014,0.588+0.018,0.557+0.006,0.838+0.006,0.822+0.002
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.505+0.007,0.505+0.007,0.514+0.004,0.505+0.007,0.527+0.007,0.784+0.002,0.786+0.003
0.830+0.002,0.830+0.002,0.818+0.002,0.830+0.002,0.846+0.004,0.966+0.001,0.968+0.001
0.588+0.018,0.588+0.018,0.532+0.014,0.588+0.018,0.557+0.006,0.838+0.006,0.822+0.002
