Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.587+0.008,0.587+0.008,0.510+0.007,0.587+0.008,0.570+0.008,0.826+0.006,0.803+0.004
0.850+0.005,0.850+0.005,0.820+0.008,0.850+0.005,0.836+0.008,0.968+0.002,0.965+0.003
0.492+0.018,0.492+0.018,0.407+0.018,0.492+0.018,0.450+0.011,0.785+0.010,0.729+0.004
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.587+0.008,0.587+0.008,0.510+0.007,0.587+0.008,0.570+0.008,0.826+0.006,0.803+0.004
0.850+0.005,0.850+0.005,0.820+0.008,0.850+0.005,0.836+0.008,0.968+0.002,0.965+0.003
0.492+0.018,0.492+0.018,0.407+0.018,0.492+0.018,0.450+0.011,0.785+0.010,0.729+0.004
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.587+0.008,0.587+0.008,0.510+0.007,0.587+0.008,0.570+0.008,0.826+0.006,0.803+0.004
0.850+0.005,0.850+0.005,0.820+0.008,0.850+0.005,0.836+0.008,0.968+0.002,0.965+0.003
0.492+0.018,0.492+0.018,0.407+0.018,0.492+0.018,0.450+0.011,0.785+0.010,0.729+0.004
