Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.687+0.006,0.687+0.006,0.558+0.006,0.687+0.006,0.624+0.008,0.864+0.004,0.832+0.004
0.881+0.009,0.881+0.009,0.849+0.025,0.881+0.009,0.855+0.012,0.976+0.003,0.969+0.003
0.463+0.009,0.463+0.009,0.380+0.016,0.463+0.009,0.464+0.010,0.806+0.004,0.775+0.003
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.687+0.006,0.687+0.006,0.558+0.006,0.687+0.006,0.624+0.008,0.864+0.004,0.832+0.004
0.881+0.009,0.881+0.009,0.849+0.025,0.881+0.009,0.855+0.012,0.976+0.003,0.969+0.003
0.463+0.009,0.463+0.009,0.380+0.016,0.463+0.009,0.464+0.010,0.806+0.004,0.775+0.003
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.687+0.006,0.687+0.006,0.558+0.006,0.687+0.006,0.624+0.008,0.864+0.004,0.832+0.004
0.881+0.009,0.881+0.009,0.849+0.025,0.881+0.009,0.855+0.012,0.976+0.003,0.969+0.003
0.463+0.009,0.463+0.009,0.380+0.016,0.463+0.009,0.464+0.010,0.806+0.004,0.775+0.003
