Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.573+0.031,0.573+0.031,0.440+0.028,0.573+0.031,0.545+0.062,0.827+0.014,0.775+0.022
0.822+0.012,0.822+0.012,0.814+0.023,0.822+0.012,0.767+0.027,0.962+0.005,0.940+0.014
0.460+0.051,0.460+0.051,0.262+0.022,0.460+0.051,0.312+0.022,0.748+0.043,0.613+0.014
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.573+0.031,0.573+0.031,0.440+0.028,0.573+0.031,0.545+0.062,0.827+0.014,0.775+0.022
0.822+0.012,0.822+0.012,0.814+0.023,0.822+0.012,0.767+0.027,0.962+0.005,0.940+0.014
0.460+0.051,0.460+0.051,0.262+0.022,0.460+0.051,0.312+0.022,0.748+0.043,0.613+0.014
Accuary,p_micro,p_macro,r_micro,r_macro,roc_micro,roc_macro
0.573+0.031,0.573+0.031,0.440+0.028,0.573+0.031,0.545+0.062,0.827+0.014,0.775+0.022
0.822+0.012,0.822+0.012,0.814+0.023,0.822+0.012,0.767+0.027,0.962+0.005,0.940+0.014
0.460+0.051,0.460+0.051,0.262+0.022,0.460+0.051,0.312+0.022,0.748+0.043,0.613+0.014
